ru;en;kcal;catRu;catEn;gr
Киш с Брокколи и Шпинатом;Broccoli and Spinach Quiche;220;Завтрак;Breakfast;
Кокосовый Йогурт;Coconut Yogurt;170;Завтрак;Breakfast;100
Кокосовый Йогурт с Семенами Чиа и Клубничным Чатни;Coconut Yogurt with Chia Seeds and Strawberry Chutney;150;Завтрак;Breakfast;
Колбаски Куриные;Chicken Sausages;230;Завтрак;Breakfast;
Конвертик из Лаваша с Сулугуни и Зеленью;Lavash Envelope with Suluguni Cheese and Herbs;250;Горячая Закуска;Hot Starters;80
Конвертик с Капустой;Pie with Cabbage;242;Завтрак;Breakfast;
Конвертики из Лаваша с Сулугуни;Lavash with Suluguni Cheese;180;Закуска;Starters;75
Конвертики из Тонкого Теста с Сыром;Puff Pastry Envelopes with Cheese;310;Завтрак;Breakfast;
Корейка;Lamb Loin;240;Шашлык;BBQ;150
Корейка Телячья на Кости;Veal Loin on the Bone;200;Горячее;Main Courses;110
Корейка Ягненка Жареная;Roasted Lamb Loin;220;Горячая Закуска;Hot Starters;75
Корейка Ягненка Запечённая;Baked Lamb Loin;180;Горячее;Main Courses;75
Корейка Ягнёнка Тушеная с Зеленью;Stewed Lamb Loin with Greens;250;Горячее;Main Courses;50
Котлета Пожарская;Pozharskaya Cutlet;220;Горячее;Main Courses;120
Котлетки из Говядины;Beef Cutlets;210;Горячее;Main Courses;
Котлетки из Судака;Pike Perch Cutlet;175;Горячее;Main Courses;
Котлеты Домашние;Homemade Cutlets;180;Горячее;Main Courses;150
Котлеты Домашние из Телятины;Homemade Veal Cutlets;104;Горячее;Main Courses;120
Котлеты из Индейки;Turkey Cutlets;230;Горячее;Main Courses;150
Котлеты из Судака;Pikeperch Cutlet;145;Горячее;Main Courses;150
Котлеты из Телятины;Veal Cutlets;120;Горячее;Main Courses;120
Котлеты из Трески;Cod Cutlets;140;Горячее;Main Courses;
Котлеты из Трески с Соусом Тар-Тар;Cod Cutlets with Tartar Sauce;140;Горячее;Main Courses;120
Котлеты Куриные Припущенные;Poached Chicken Cutlets;150;Горячее;Main Courses;150
Котлеты Рыбные;Fish Cutlets;150;Горячее;Main Courses;150
Котлеты Щучьи;Pike Cutlets;120;Горячее;Main Courses;150
Котлеты Щучьи с Икорным Соусом;Pike Cutlets with Caviar Sauce;150;Горячее;Main Courses;150
Крабовый Салат;Crab Salad;175;Салаты;Salads;150
Креветки Карабинеры Криспи;Crispy Carabineri;160;Закуска;Starters;
Креветки Отварные;Boiled Shrimp;85;Закуска;Starters;150
Креветки Панко с Соусом Васаби;Panko Shrimp with Wasabi Sauce;210;Горячее;Main Courses;100
Креветки Темпура;Shrimp Tempura;240;Горячее;Main Courses;
Крем Суп из Печеной Тыквы;Baked Pumpkin Cream Soup;37;Супы;Soups;200
Крем Суп из Тыквы;Pumpkin Cream Soup;55;Супы;Soups;200
Кролик Тушеный с Луком;Rabbit Stewed with Onions;190;Горячее;Main Courses;
Кролик Тушеный с Овощами;Rabbit Stew with Vegetables;110;Горячее;Main Courses;150
Крудите;Crudites;90;Салаты;Salads;50
Крудите из Красных Креветок;Red Shrimp Crudite;120;Холодная Закуска;Cold Starters;
Крудо из Креветок;Shrimp Crudo;170;Закуска;Starters;
Крудо из Лангустина;Langoustine Crudo;80;Холодная Закуска;Cold Starters;
Кукуруза;Corn;95;Гарнир;Side Dishes;150
Кукуруза Отварная;Boiled Corn;85;Гарнир;Side Dishes;100
Куриная Грудка Гриль;Grilled Chicken Breast;110;Горячее;Main Courses;150
Куриная Грудка Запеченная;Baked Chicken Breast;160;Горячее;Main Courses;
Куриная Грудка с Гречкой;Chicken Breast with Buckwheat;150;Горячее;Main Courses;250
Куриная Грудка Су-вид;Chicken Breast Sous-vide;110;Горячее;Main Courses;150
Куриная Лапша Домашняя с Ножкой;Homemade Chicken Noodles with Leg;70;Супы;Soups;200
Куриная Ножка Конфи;Chicken Leg Confit;180;Горячее;Main Courses;140
Куриная Печень с Луком;Chicken Liver with Onions;140;Горячее;Main Courses;200
Куриные Биточки на Пару;Steamed Chicken Cutlets;145;Горячее;Main Courses;
Куриные Котлеты;Chicken Cutlets;160;Горячее;Main Courses;140
Куриные Котлеты на Пару;Steamed Chicken Cutlets;;Горячее;Main Courses;
Куриные Котлеты Паровые;Steamed Chicken Cutlets;145;Горячее;Main Courses;
Куриные Потрошки с Толченым Картофелем;Chicken Giblets with Mashed Potatoes;110;Закуска;Starters;80
Куриные Шашлычки;Chicken Skewers;160;Горячее;Main Courses;150
Куриный Бульон;Chicken Broth;120;Супы;Soups;200
Куриный Бульон Кудрявый с Зеленью;Curly Chicken Broth with Herbs;20;Супы;Soups;200
Куриный Бульон с Зеленью;Chicken Broth with Herbs;90;Супы;Soups;200
Куриный Бульон с Курицей и Яйцом;Chicken Broth with Chicken and Egg;35;Супы;Soups;200
Куриный Бульон с Лапшой;Chicken Bouillon with Noodles;50;Супы;Soups;200
Куриный Бульон с Лапшой и Курицей;Chicken Broth with Noodles and Chicken;55;Супы;Soups;200
Куриный Бульон с Ножкой;Chicken Broth with Leg;45;Супы;Soups;200
Куриный Бульон с Омлетом и Зеленью;Chicken Bouillon with Omelet and Greens;40;Супы;Soups;200
Куриный Бульон с Пельменями;Chicken Broth with Dumplings;95;Супы;Soups;200
Куриный Бульон с Перепелиным Яйцом;Chicken Broth with Quail Egg;50;Супы;Soups;200
Куриный Бульон с Перепелиным Яйцом и Шпинатом;Chicken Broth with Quail Egg and Spinach;;Супы;Soups;200
Куриный Бульон с Потрошками;Chicken Broth with Giblets;45;Супы;Soups;200
Куриный Бульон с Тефтелями;Chicken Broth with Meatballs;60;Супы;Soups;200
Куриный Бульон с Фрикадельками;Chicken Bouillon with Meatballs;50;Супы;Soups;200
Куриный Бульон с Яйцом и Зеленью;Chicken Broth with Egg and Herbs;;Супы;Soups;
Куриный Паштет;Chicken Plate;260;Завтрак;Breakfast;45
Куриный Паштет 777;Chicken Plate 777;200;;;45
Куриный Рулет;Chicken Roulade;150;Завтрак;Breakfast;100
Куриный Суп Лапша;Chicken Noodle Soup;55;Супы;Soups;200
Куриный Суп Лапша с Фрикадельками;Chicken Noodle Soup with Meatballs;90;Супы;Soups;200
Куриный Суп с Брокколи;Chicken and Broccoli Soup;60;Супы;Soups;200
Куриный Суп с Вермишелью;Chicken Noodle Soup;55;Супы;Soups;200
Куриный Суп с Потрошками;Chicken Soup with Giblets;60;Супы;Soups;200
Куриный Суп с Щавелем;Chicken Soup with Sorrel;;Супы;Soups;
Курица в Сливочном Соусе с Кинзой;Chicken with Creamy Sauce and Cilantro;190;Горячее;Main Courses;
Курица Запеченная;Baked Chicken;210;Горячее;Main Courses;
Курица с Овощами и Кунжутом;Chicken with Vegetables and Sesame Seeds;190;Горячее;Main Courses;
Курочка Запечённая;Baked Chicken;190;Горячее;Main Courses;150
Кутабы с Зеленью;Kutabs with Herbs;220;Закуска;Starters;60
Лагман;Lagman;110;Супы;Soups;200
Лапша Гречневая с Овощами;Buckwheat Noodles with Vegetables;140;Гарнир;Side Dishes;
Лапша Куриная с Потрошками;Chicken Noodles with Giblets;80;Горячее;Main Courses;150
Лапша Пшеничная с Курицей и Овощами;Wheat Noodles with Chicken and Vegetables;160;Горячее;Main Courses;
Лахмаджун;Lakhmadjun;188;Горячая Закуска;Hot Starters;150
Лахмаджун с Ягнёнком;Lahmacun with Lamb;230;Закуска;Starters;80
Ледяная Рыба;Ice Fish;95;Горячее;Main Courses;
Ленивые Вареники;Lazy Dumplings;165;Завтрак;Breakfast;80
Ленивые Вареники с Земляникой;Lazy Dumplings with Wild Strawberries;180;Завтрак;Breakfast;
Лимонный Курд;Lemon Curd;350;Завтрак;Breakfast;
Листовой Салат с Печеной Свеклой;Leaf Salad with Baked Beetroot;30;Салаты;Salads;
Листья Салата с Куриной Грудкой;Salad Leaves with Chicken Breast;120;Салаты;Salads;120
Лобио;Lobio;145;Гарнир;Side Dishes;130
Лобио из Зеленой Фасоли;Green Bean Lobio;110;Горячая Закуска;Hot Starters;120
Лобио из Стручковой Фасоли;Green Bean Lobio;100;Закуска;Starters;
Лопатка Ягненка Запечённая с Овощами;Lamb Shoulder Roasted with Vegetables;230;Горячее;Main Courses;150
Лопатка Ягненка Тушеная с Овощами;Stewed Lamb Shoulder with Vegetables;190;Горячее;Main Courses;120
Лосось в Соусе из Шпината;Salmon in Spinach Sauce;170;Горячее;Main Courses;250
Лосось в Соусе Терияки;Salmon with Teriyaki Sauce;;Горячее;Main Courses;
Лосось в Соусе Терияки с Водорослями Вакаме;Salmon in Teriyaki Sauce with Wakame Seaweed;;Горячее;Main Courses;
Лосось Гриль;Grilled Salmon;200;Горячее;Main Courses;150
Лосось Гриль со Спаржей и Шпинатом;Grilled Salmon with Asparagus and Spinach;;Горячее;Main Courses;
Лосось Гриль со Шпинатом;Grilled Salmon with Spinach;180;Горячее;Main Courses;150
Лосось на Пару;Steamed Salmon;180;Горячее;Main Courses;
Лосось на Пару с Травами;Steamed Salmon with Herbs;190;Горячее;Main Courses;150
Лосось с Авокадо;Salmon with Avocado;215;Завтрак;Breakfast;60
Лосось Терияки;Salmon Teriyaki;;Горячее;Main Courses;
Луковый Суп;Onion Soup;40;Супы;Soups;200
Луковый Суп с Крутоном;Onion Soup with Croutons;45;Супы;Soups;200
Луковый Суп с Репой;Onion Soup with Turnips;39;Супы;Soups;200
Люля;Lulya;270;Шашлык;BBQ;
Люля из Ягнёнка;Lamb Lyulya;240;Горячая Закуска;Hot Starters;75
Люля Кебаб;Lyulya Kebab;220;Шашлык;BBQ;
Макароны по-Флотски;Navy Style Pasta;175;Гарнир;Side Dishes;140
Макароны Фузилли;Fusilli Pasta;130;Гарнир;Side Dishes;
Мампар;Mampar;100;Супы;Soups;200
Манго;Mango;60;Завтрак;Breakfast;30
Манго с Рикоттой и Клубникой;Mango with Ricotta and Strawberries;100;Завтрак;Breakfast;100
Манная Каша;Semolina Porridge;75;Завтрак;Breakfast;200
Манная Каша с Земляничным Вареньем;Semolina Porridge with Strawberry Jam;135;Завтрак;Breakfast;150
Манты;Manty;250;Горячее;Main Courses;
Манты с Ягнёнком;Manti with Lamb;200;Горячее;Main Courses;150
Мастава;Mastava;60;Супы;Soups;200
Мастава с Ягненком;Mastava with Lamb;110;Супы;Soups;200
Маш с Овощами;Mung Beans with Vegetables;120;Гарнир;Side Dishes;
Машевый Суп;Mung Bean Soup;80;Супы;Soups;200
Машхурда;Mashkhurda;80;Супы;Soups;200
Медальоны из Говядины;Beef Medallions;220;Горячее;Main Courses;150
Медальоны из Говяжий Вырезки;Beef Tenderloin Medallions;145;Горячее;Main Courses;150
Медальоны из Телятины;Veal Medallions;170;Горячее;Main Courses;150
Медальоны из Телячьей Вырезки;Medallions of Veal Tenderloin;160;Горячее;Main Courses;150
Мидии в Белом Вине;Mussels in White Wine;65;Закуска;Starters;
Микс Салат с Артишоками и Томатами Черри;Mix Salad with Artichokes and Cherry Tomatoes;70;Салаты;Salads;
Микс Салат с Водорослями Чука;Mix Salad with Chuka Seaweed;;Салаты;Salads;
Микс Салат с Жареным Сыром Тофу и Кунжутом;Mix Salad with Fried Tofu Cheese and Sesame Seeds;125;Салаты;Salads;
Микс Салат с Жареным Сыром Халуми;Mix Salad with Fried Halloumi Cheese;160;Салаты;Salads;
Микс Салат с Зелеными Овощами;Mix Salad with Green Vegetables;70;Закуска;Starters;150
Микс Салат с Камчатским Крабом;Mix Salad with Kamchatka Crab;130;Салаты;Salads;120
Микс Салат с Крабом;Mix Salad with Crab;120;Салаты;Salads;120
Микс Салат с Крабом и Апельсиновой Заправкой;Mix Salad with Crab and Orange Dressing;120;Салаты;Salads;120
Микс Салат с Куриной Грудкой в Ореховом Соусе;Mixed Salad with Chicken Breast in Walnut Sauce;;Салаты;Salads;
Микс Салат с Куриной Грудкой и Зеленой Фасолью;Mix Salad with Chicken Breast and Green Beans;85;Салаты;Salads;
Микс Салат с Куриной Печенью;Mix Salad with Chicken Liver;160;Салаты;Salads;150
Микс Салат с Курицей в Ореховом Соусе;Mix Salad with Chicken in Walnut Sauce;250;Салаты;Salads;200
Микс Салат с Мюнхенской Заправкой;Mix Salad with Munich Dressing;91;Салаты;Salads;100
Микс Салат с Овощами;Mix Salad with Vegetables;50;Салаты;Salads;
Микс Салат с Овощами Гриль;Mix Salad with Grilled Vegetables;60;Салаты;Salads;
Микс Салат с Огурцом и Редисом;Mixed Salad with Cucumber and Radish;25;Салаты;Salads;120
Микс Салат с Огурцом, Редисом и Яйцом;Mixed Salad with Cucumber, Radish, and Egg;55;Салаты;Salads;120
Микс Салат с Ореховой Заправкой;Mix Salad with Nut Dressing;;Салаты;Salads;
Микс Салат с Перепелкой;Mix Salad with Quail;140;Салаты;Salads;150
Микс Салат с Перепелкой и Печёным Перцем;Mix Salad with Quail and Baked Peppers;120;Салаты;Salads;150
Микс Салат с Печеной Свеклой и Козьим Сыром;Mixed Salad with Baked Beets and Goat Cheese;;Салаты;Salads;
Микс Салат с Печеной Тыквой и Мюнхенской Заправкой;Mixed Salad with Roasted Pumpkin and Munich Dressing;90;Салаты;Salads;120
Микс Салат с Печеным Перцем;Mixed Salad with Baked Peppers;70;Салаты;Salads;120
Микс Салат с Печеным Перцем и Козьем Сыром;Mix Salad with Baked Peppers and Goat Cheese;140;Салаты;Salads;120
Микс Салат с Помидорами Черри и Медово-Горчичной Заправкой;Mix Salad with Cherry Tomatoes and Honey Mustard Dressing;70;Салаты;Salads;150
Микс Салат с Помидорами Черри и Мюнхенской Заправкой;Mix Salad with Cherry Tomatoes and Munich Dressing;100;Салаты;Salads;150
Микс Салат с Томатами и Моцареллой;Mixed Salad with Tomatoes and Mozzarella;100;Салаты;Salads;120
Микс Салат с Тунцом;Mix Salad with Tuna;90;Салаты;Salads;120
Микс Салат с Тунцом и Перепелиным Яйцом;Mix Salad with Tuna and Quail Egg;86;Салаты;Salads;200
Микс Салат с Яблоком и Орехом Пекан;Mix Salad with Apple and Pecan Nuts;110;Салаты;Salads;
Микс Салата с Киноа и Соусом из Шпината;Mixed Salad with Quinoa and Spinach Sauce;90;Салаты;Salads;120
Микс-Салат;Mix Salad;20;Салаты;Salads;150
Микс-Салат с Жареным Тофу и Кунжутом;Mix Salad with Fried Tofu and Sesame Seeds;125;Салаты;Salads;
Микс-Салат с Квашеной Капустой;Mix Salad with Sauerkraut;25;Салаты;Salads;
Микс-Салат с Квашеной Капустой и Мюнхенской Заправкой;Mix Salad with Sauerkraut and Munich Dressing;40;Салаты;Salads;150
Микс-Салат с Киноа и Авокадо;Mix Salad with Quinoa and Avocado;150;Салаты;Salads;
Микс-Салат с Копченой Форелью;Mix Salad with Smoked Trout;120;Салаты;Salads;150
Микс-Салат с Крабом, Конкассе и Кукурузой;Mix Salad with Crab, Concasse and Corn;130;Салаты;Salads;
Микс-салат с Печеной Тыквой;Mixed Salad with Baked Pumpkin;70;Салаты;Salads;120
Микс-салат с Сыром Страчателла;Mixed Salad with Stracciatella Cheese;;Салаты;Salads;
Мильфей из Печеной Свеклы с Гуакамоле;Baked Beet Mille-feuille with Guacamole;95;Завтрак;Breakfast;60
Мильфей из Свеклы;Beet Mille-feuille;80;Завтрак;Breakfast;50
Мильфей из Свеклы с Гуакамоле;Beetroot Mille-feuille with Guacamole;100;Завтрак;Breakfast;
Мильфей с Копченой Форелью;Mille-feuille with Smoked Trout;300;Завтрак;Breakfast;40
Мильфей со Свеклой и Авокадо;Mille-feuille with Beetroot and Avocado;200;Завтрак;Breakfast;
Минестроне;Minestrone;100;Супы;Soups;200
Мини Голубцы с Крабом;Mini Cabbage Rolls with Crab;150;Горячая Закуска;Hot Starters;100
Мини Кальмары с Перечным Соусом;Mini Squid with Pepper Sauce;120;Салаты;Salads;100
Мини Кальмары Фаршированные в Томатном Соусе с Пюре;Mini Squid Stuffed in Tomato Sauce with Puree;86;;;170
Мини Картофель Жареный;Roasted Baby Potatoes;196;Гарнир;Side Dishes;100
Мини Картофель Отварной с Укропом;Mini Boiled Potatoes with Dill;80;Гарнир;Side Dishes;100
Мини Картофель с Зеленью;Mini Potatoes with Herbs;120;Гарнир;Side Dishes;100
Мини Пенне;Mini Penne;130;Гарнир;Side Dishes;
Мини Пенне в Соусе из Зелени;Mini Penne with Green Sauce;;Гарнир;Side Dishes;
Мини Пенне в Соусе Песто;Mini Penne in Pesto Sauce;250;Гарнир;Side Dishes;
Мини Романо с Огурцом;Mini Romano with Cucumber;21;Завтрак;Breakfast;60
Мини Романо с Песто и Зелеными Овощами;Mini Romano Lettuce with Pesto and Green Vegetables;100;Салаты;Salads;100
Мини Чебуреки;Mini Chebureki;290;Закуска;Starters;
Мини Чебуреки с Ягнёнком;Mini Chebureki with Lamb;220;Закуска;Starters;70
Мисо Суп;Miso Soup;40;Супы;Soups;200
Мисо Суп с Лососем;Miso Soup with Salmon;60;Супы;Soups;200
Молодая Капуста с Рукколой;Young Cabbage with Rucola;50;Салаты;Salads;120
Молодая Капуста с Рукколой и Черри;Young Cabbage with Rucola and Cherry Tomatoes;35;Салаты;Salads;
Молодой Картофель;New Potatoes;75;Гарнир;Side Dishes;120
Молодой Картофель Жареный с Луком;Fried Potatoes with Onions;160;Гарнир;Side Dishes;180
Молодой Картофель Отварной;Boiled Baby Potatoes;75;Гарнир;Side Dishes;100
Молодой Картофель с Розмарином;New Potatoes with Rosemary;120;Гарнир;Side Dishes;150
Молодой Картофель с Укропом;Potatoes with Dill;61;Гарнир;Side Dishes;100
Морковные Котлеты;Carrot Cutlets;120;Горячее;Main Courses;100
Морковь по-Ташкентски;Tashkent-Style Carrots;120;Салаты;Salads;150
Морской Палтус с Томатами Запечённый;Baked Halibut with Tomatoes;110;Горячее;Main Courses;140
Мохора;Mohora;68;Супы;Soups;200
Моцарелла с Песто и Томатами;Mozzarella with Pesto and Tomatoes;220;Салаты;Salads;
Мясное Ассорти;Meat Assortment;250;Закуска;Starters;120
Наггетсы Куриные;Chicken Nuggets;250;Горячее;Main Courses;
Натуральный Йогурт с Гранолой;Natural Yogurt with Granola;150;Завтрак;Breakfast;
Ньоки Болоньезе;Gnocchi Bolognese;170;Горячая Закуска;Hot Starters;120
Ньоки с Грибами;Gnocci with Mushrooms;180;Горячее;Main Courses;150
Ньоки с Трюфелем и Пармезаном;Gnocci with Truffles and Parmesan;520;Горячее;Main Courses;150
Ньоки с Тушеной Говядиной и Травами;Gnocci with Stewed Beef and Herbs;210;Горячее;Main Courses;200
Ньокки с Рагу из Телячьих Хвостов;Gnocchi with Veal Tail Ragout;160;Горячее;Main Courses;140
Обжаренные Овощи;Fried Vegetables;120;Гарнир;Side Dishes;
Обжаренный Брокколи;Fried Broccoli;40;Гарнир;Side Dishes;100
Обжаренный Мини Картофель с Цветной Капустой;Fried Baby Potatoes with Cauliflower;120;Гарнир;Side Dishes;100
Овощи Гриль;Grilled Vegetables;80;Гарнир;Side Dishes;100
Овощи Запечённые;Baked Vegetables;48;Гарнир;Side Dishes;150
Овощи Запеченные в Собственном Соку;Vegetables Baked in Their Own Juice;30;Гарнир;Side Dishes;
Овощи Запечённые в Томате;Vegetables Baked in Tomato;;;;
Овощи на Пару;Steamed Vegetables;20;Гарнир;Side Dishes;100
Овощи Натуральные;Natural Vegetables;31;Салаты;Salads;45
Овощи Отварные;Boiled Vegetables;30;Гарнир;Side Dishes;100
Овощи Печёные;Baked Vegetables;50;Гарнир;Side Dishes;120
Овощи Свежие;Fresh Vegetables;25;Завтрак;Breakfast;70
Овощи Свежие с Телятиной;Fresh Vegetables with Veal;100;Горячее;Main Courses;200
Овощи Тушеные;Stewed Vegetables;60;Гарнир;Side Dishes;100
Овощи Тушеные в Томатах;Vegetables Stewed with Tomatoes;40;Гарнир;Side Dishes;120
Овощи Тушеные в Томатном Соусе;Vegetables Stewed in Tomato Sauce;;Горячее;Main Courses;
Овощи Унаги;Unagi-Style Vegetables;100;Гарнир;Side Dishes;100
Овощная Икра с Сыром Скаморца;Vegetable Caviar with Scamorza Cheese;150;Салаты;Salads;
Овощная Сальса;Vegetable Salsa;25;Завтрак;Breakfast;
Овощная Тарелка;Vegetable Platter;25;Салаты;Salads;120
Овощное Рагу;Vegetable Stew;90;Гарнир;Side Dishes;100
Овощное Рагу с Говядиной;Vegetable Ragout with Beef;102;Горячее;Main Courses;150
Овощное Соте;Vegetable Saute;70;Гарнир;Side Dishes;100
Овощной Пикантный Салат;Spicy Vegetable Salad;50;Салаты;Salads;150
Овощной Салат;Vegetable Salad;45;Салаты;Salads;200
Овощной Салат с Авокадо и Крымским Луком;Vegetable Salad with Avocado and Crimean Onion;160;Салаты;Salads;150
Овощной Салат с Ароматным Маслом;Vegetable Salad with Fragrant Oil;80;Салаты;Salads;150
Овощной Салат с Горошком;Vegetable Salad with Peas;90;Салаты;Salads;120
Овощной Салат с Грецким Орехом;Vegetable Salad with Walnuts;85;Салаты;Salads;150
Овощной Салат с Грецким Орехом и Зеленью;Vegetable Salad with Walnuts and Greens;70;Салаты;Salads;120
Овощной Салат с Зелёным Горошком;Vegetable Salad with Green Peas;60;Салаты;Salads;120
Овощной Салат с Красным Луком;Vegetable Salad with Red Onions;60;Салаты;Salads;150
Овощной Салат с Крымским Луком;Vegetable Salad with Crimean Onions;;Салаты;Salads;
Овощной Салат с Луком и Сметаной;Vegetable Salad with Onions and Sour Cream;85;Салаты;Salads;120
Овощной Салат с Оливковым Маслом;Vegetable Salad with Olive Oil;80;Салаты;Salads;120
Овощной Салат с Тунцом;Vegetable Salad with Tuna;105;Салаты;Salads;150
Овощной Салат с Фасолью;Vegetable Salad with Beans;76;Салаты;Salads;150
Овощной Салат со Сметаной;Vegetable Salad with Sour Cream;80;Салаты;Salads;120
Овощной Салат со Сметаной и Ароматным Маслом;Vegetable Salad with Sour Cream and Aromatic Oil;90;Салаты;Salads;120
Овощной Суп;Vegetable Soup;35;Супы;Soups;200
Овощной Суп ? Пюре;Vegetable Cream Soup;155;Супы;Soups;200
Овощной Суп из Цветной Капусты с Репой;Cauliflower and Turnip Vegetable Soup;50;Супы;Soups;200
Овощной Суп с Грибами;Vegetable Soup with Mushrooms;30;Супы;Soups;200
Овощной Суп с Капустой;Vegetable Cabbage Soup;30;Супы;Soups;200
Овощной Суп с Молодым Горошком;Vegetable Soup with Young Green Peas;30;Супы;Soups;200
Овощной Суп с Тыквой;Vegetable Soup with Pumpkin;30;Супы;Soups;200
Овсяная Каша на Воде с Абрикосом;Oatmeal with Apricot;65;Завтрак;Breakfast;
Овсяная Каша на Воде с Курагой;Oatmeal Porridge on Water with Dried Apricots;70;Завтрак;Breakfast;180
Овсяная Каша Цельнозерновая;Whole Grain Oatmeal;120;Завтрак;Breakfast;200
Окрошка на Квасе или Кефире;Okroshka on Kvass or Kefir;50;Супы;Soups;200
Окрошка на Квасе, Кефире или Айране;Okroshka with Kvass, Kefir or Ayran;55;Супы;Soups;200
Оладьи Бездрожжевые на Кефире;Yeast-Free Pancakes with Kefir;200;Завтрак;Breakfast;
Оладьи из Брокколи;Broccoli Pancakes;110;Завтрак;Breakfast;50
Оладьи из Индейки;Turkey Pancakes;170;Горячее;Main Courses;
Оладьи из Тыквы;Pumpkin Pancakes;55;Завтрак;Breakfast;80
Оладьи из Цукини;Zucchini Fritters;120;Завтрак;Breakfast;
Оладьи из Цукини с Лососем;Zucchini Pancakes with Salmon;112;Завтрак;Breakfast;60
Оладьи на Кефире;Kefir Pancakes;220;Завтрак;Breakfast;80
Оладьи Овощные;Vegetable Pancakes;55;Завтрак;Breakfast;
Оладьи с Чиа и Семенами Льна на Кокосовом Молоке;Coconut Milk-based Pancakes with Chia and Flax Seeds;270;Завтрак;Breakfast;50
Оладья из Цукини;Zucchini Pancake;100;Завтрак;Breakfast;80
Оливье;Olivier Russian Salad;195;Салаты;Salads;150
Оливье с Куриной Грудкой;Olivier with Chicken Breast;180;Салаты;Salads;150
Оливье с Курицей;Olivier with Chicken;195;Салаты;Salads;150
Оливье с Перепёлкой и Раковыми Шейками;Olivier with Quail and Crayfish Necks;170;Салаты;Salads;120
Оливье с Цыпленком;Olivier Salad with Chicken;180;Салаты;Salads;150
Омлет;Omelet;170;Завтрак;Breakfast;120
Омлет Закрученный;Rolled Omelet;180;Завтрак;Breakfast;120
Омлет из Перепелиных Яиц;Quail Egg Omelette;125;Завтрак;Breakfast;120
Омлет Классический;Classic Omelette;125;Завтрак;Breakfast;120
Омлет на Пару;Steamed Omelette;120;Завтрак;Breakfast;
Омлет Радужный с Томатами и Авокадо;Rainbow Omelette with Tomatoes and Avocado;160;Завтрак;Breakfast;150
Омлет с Зеленью;Omelet with Greens;160;Завтрак;Breakfast;
Омлет с Крабом;Omelet with Crab;175;Завтрак;Breakfast;
Омлет с Сыром;Omelet with Cheese;170;Завтрак;Breakfast;
Омлет с Сыром и Зеленью;Omelet with Cheese and Greens;170;Завтрак;Breakfast;150
Омлет с Сыром Пармезан;Omelet with Parmesan Cheese;185;Завтрак;Breakfast;
Омлет с Томатами;Omelet with Tomatoes;160;Завтрак;Breakfast;
Омлет со Шпинатом;Omelet with Spinach;154;Завтрак;Breakfast;120
Омлет со Шпинатом и Пармезаном;Omelet with Spinach and Parmesan;180;Завтрак;Breakfast;
Омлет Студенческий с Горошком;Student Omelette with Peas;150;;;140
Опята Маринованные;Pickled Honey Mushrooms;25;Закуска;Starters;120
Осетрина;Grilled Sturgeon;160;Горячее;Main Courses;150
Осетрина в Томатном Соусе;Sturgeon with Tomato Sauce;130;Горячее;Main Courses;150
Осетрина в Томатном Соусе на Сковороде;Sturgeon with Tomato Sauce;145;Горячее;Main Courses;
Осетрина Запечённая;Baked Sturgeon;160;Горячее;Main Courses;70
Осетрина на Сковородке;Fried Sturgeon;190;Горячее;Main Courses;
Осетрина Отварная;Boiled Sturgeon;140;Горячее;Main Courses;120
Осетрина с Овощами в Томатном Соусе;Sturgeon with Vegetables in Tomato Sauce;120;Горячее;Main Courses;150
Отбивная из Говядины;Beef Chop;283;Горячее;Main Courses;
Отбивные из Говядины;Beef Chops;;Горячее;Main Courses;
Отварная Белая Спаржа;Boiled White Asparagus;25;Гарнир;Side Dishes;150
Отварное Каре Телятины;Boiled Rack of Veal;131;Горячее;Main Courses;
Открытый Хачапури из Теста Фило;Open Khachapuri from Phyllo Dough;270;Завтрак;Breakfast;
Пак Чой с цыплёнком по-Азиатски;Asian Style Pak Choi with Chicken;130;Горячая Закуска;Hot Starters;120
Пак-Чой;Pak Choi;50;Гарнир;Side Dishes;100
Палтус;Halibut;110;Горячее;Main Courses;
Панини из Круассана с Телятиной;Veal Croissant Panini;229;Завтрак;Breakfast;120
Панини с Курицей;Chicken Panini;220;Завтрак;Breakfast;80
Панини с Цыпленком;Panini with Chicken;260;Горячее;Main Courses;
Панини с Цыпленком на Безглютеновой Булке;Gluten-free Panini with Chicken;225;Завтрак;Breakfast;
Панкейки;Pancakes;230;Завтрак;Breakfast;
Панкейки Шоколадные;Chocolate Pancakes;280;Завтрак;Breakfast;
Папайя;Papaya;45;Завтрак;Breakfast;30
Паприкаш из Курицы;Chicken Paprikash;145;Горячее;Main Courses;150
Пармеджано;Parmigiano;200;Горячая Закуска;Hot Starters;100
Пастрами из Говядины;Beef Pastrami;260;Завтрак;Breakfast;75
Пате из Утиной Печени с Инжиром;Duck Liver Pate with Fig;350;Завтрак;Breakfast;
Паштет;Pate;145;Завтрак;Breakfast;30
Паштет из Гусиной Печени с Грушей;Goose Liver Pate with Pear;360;Завтрак;Breakfast;
Паштет из Куриной Печени;Chicken Liver Pate;240;Завтрак;Breakfast;40
Паштет из Печени с Инжиром;Liver Pate with Figs;275;Завтрак;Breakfast;
Паштет из Сельди;Herring Pate;220;Завтрак;Breakfast;
